@relation 'D:\\Datasets\\datasets 2015\\libsvm\\svmguide1.dat-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute class {0,1}

@data
{0 41.04001,1 218.853,2 -0.116194,3 99.23003,4 1}
{0 21.12,1 50.954,2 0.248814,3 113.268,4 1}
{0 72.09998,1 252.774,2 -0.195466,3 110.1424,4 1}
{0 62.41602,1 338.124,2 -0.100121,3 128.4678,4 1}
{0 23.904,1 35.174,2 -0.199371,3 107.7693,4 1}
{0 33.80399,1 280.591,2 -0.109807,3 104.0778,4 1}
{0 24.448,1 52.96198,2 -0.261979,3 157.3239,4 1}
{0 23.50499,1 96.856,2 -0.246409,3 93.38796,4 1}
{0 59.155,1 224.793,2 -0.12272,3 151.1962,4 1}
{0 36.43301,1 97.86201,2 -0.236407,3 150.1112,4 1}
{0 125.3459,1 359.273,2 0.118739,3 142.2943,4 1}
{0 145.0701,1 246.7301,2 -0.149159,3 178.6212,4 1}
{0 22.48201,1 115.235,2 0.358354,3 165.1572,4 1}
{0 19.4481,1 88.4821,2 0.265258,3 107.8901,4 1}
{0 54.3213,1 136.2933,2 -0.116978,3 159.1366,4 1}
{0 41.65399,1 135.881,2 0.081947,3 151.7263,4 1}
{0 85.75702,1 239.3781,2 0.208231,3 156.3021,4 1}
{0 35.10403,1 160.794,2 0.14963,3 131.4836,4 1}
{0 67.72101,1 327.982,2 0.166094,3 117.734,4 1}
{0 22.2243,1 79.0878,2 -0.207583,3 152.0064,4 1}
{0 28.381,1 83.07899,2 -0.187914,3 102.9462,4 1}
{0 58.27496,1 307.717,2 0.116381,3 126.8748,4 1}
{0 26.43799,1 150.249,2 -0.105223,3 97.37057,4 1}
{0 46.845,1 196.777,2 -0.087085,3 165.8604,4 1}
{0 29.112,1 132.348,2 -0.150082,3 115.8883,4 1}
{0 146.99,1 308.16,2 -0.129791,3 153.4896,4 1}
{0 31.55701,1 205.633,2 0.163785,3 152.8853,4 1}
{0 22.8991,1 123.9511,2 -0.166558,3 132.4999,4 1}
{0 38.798,1 226.615,2 -0.072783,3 119.6539,4 1}
{0 75.22998,1 297.7001,2 -0.161568,3 161.6306,4 1}
{0 29.91299,1 136.499,2 0.243058,3 122.5708,4 1}
{0 20.1414,1 66.4,2 -0.235387,3 141.2177,4 1}
{1 92.3334,2 -0.220369,3 114.2678,4 1}
{0 131.653,1 54.701,2 0.211781,3 151.3939,4 1}
{0 39.98499,1 210.578,2 0.250113,3 144.8981,4 1}
{0 27.396,1 48.5871,2 -0.175975,3 107.6731,4 1}
{0 52.767,1 234.527,2 -0.133092,3 119.4534,4 1}
{0 49.30801,1 215.808,2 -0.134377,3 125.0922,4 1}
{0 32.2326,1 130.3156,2 -0.114822,3 142.5004,4 1}
{0 19.806,1 84.918,2 0.633203,3 179.7308,4 1}
{0 22.9261,1 101.2691,2 0.283987,3 90.65781,4 1}
{0 16.5471,1 69.511,2 -0.298977,3 88.97963,4 1}
{0 20.97101,1 48.12,2 0.211132,3 124.8478,4 1}
{0 25.88998,1 145.31,2 0.16045,3 99.89746,4 1}
{0 117.75,1 196.76,2 -0.169725,3 165.8824,4 1}
{0 33.87001,1 182.588,2 0.089884,3 105.4456,4 1}
{0 79.64099,1 259.646,2 -0.20852,3 135.7546,4 1}
{0 75.42096,1 270.971,2 -0.146844,3 146.6835,4 1}
{0 16.2825,1 61.4856,2 0.314572,3 32.69581,4 1}
{0 36.94299,1 170.159,2 -0.129879,3 118.4866,4 1}
{0 17.83298,1 225.681,2 0.261182,3 101.2323,4 1}
{0 21.4258,1 55.5162,2 -0.206534,3 130.0087,4 1}
{0 56.183,1 169.292,2 -0.184451,3 153.149,4 1}
{0 61.93896,1 203.118,2 0.122042,3 120.3269,4 1}
{0 35.83299,1 238.96,2 0.152273,3 159.2822,4 1}
{0 137.7,1 368.7899,2 -0.145754,3 158.2357,4 1}
{0 21.5214,1 87.9574,2 0.13549,3 115.1302,4 1}
{0 36.13202,1 198.432,2 0.130543,3 104.531,4 1}
{0 29.85201,1 164.775,2 -0.256606,3 155.5303,4 1}
{0 20.217,1 121.656,2 0.162446,3 97.86496,4 1}
{0 25.33,1 110.725,2 0.117002,3 97.63424,4 1}
{0 24.17101,1 132.558,2 0.183364,3 125.3449,4 1}
{0 103.403,1 123.007,2 -0.210903,3 157.431,4 1}
{0 18.90796,1 80.34601,2 0.184695,3 62.84001,4 1}
{0 59.79004,1 85.98999,2 0.196609,3 147.0515,4 1}
{0 55.823,1 121.783,2 0.145729,3 118.7228,4 1}
{0 229.37,1 257.34,2 -0.269499,3 178.0691,4 1}
{0 116.173,1 258.424,2 -0.164652,3 172.0293,4 1}
{0 32.52101,1 248.108,2 0.11308,3 108.9119,4 1}
{0 68.95197,1 318.898,2 0.122277,3 142.1488,4 1}
{0 19.0238,1 79.65839,2 -0.289407,3 126.1552,4 1}
{0 23.10101,1 60.334,2 0.237782,3 127.7208,4 1}
{0 52.687,1 126.183,2 0.070182,3 163.4543,4 1}
{0 53.888,1 213.106,2 0.144878,3 153.5335,4 1}
{0 28.032,1 84.03,2 0.308166,3 130.8409,4 1}
{0 24.8449,1 84.84921,2 -0.303328,3 152.1382,4 1}
{0 26.35001,1 211.189,2 -0.18189,3 158.0847,4 1}
{0 28.9233,1 177.5503,2 0.10479,3 134.1122,4 1}
{0 18.20801,1 194.996,2 0.07515,3 67.96796,4 1}
{0 23.9714,1 105.2884,2 0.194111,3 161.3504,4 1}
{0 16.06702,1 193.432,2 0.305222,3 22.58824,4 1}
{0 37.909,1 93.16699,2 -0.177092,3 144.6674,4 1}
{0 44.339,1 214.353,2 0.115858,3 145.4694,4 1}
{0 50.27101,1 159.565,2 -0.162673,3 167.8077,4 1}
{0 135.799,1 368.4061,2 -0.123823,3 156.9998,4 1}
{0 99.02298,1 278.762,2 -0.087523,3 157.041,4 1}
{0 16.6815,1 43.877,2 -0.142395,3 38.7631,4 1}
{0 61.84601,1 254.116,2 -0.19043,3 157.6672,4 1}
{0 99.73602,1 461.163,2 -0.152427,3 171.6091,4 1}
{0 124.02,1 244.35,2 -0.158002,3 147.8151,4 1}
{0 32.00101,1 137.612,2 -0.140242,3 104.2976,4 1}
{0 29.228,1 252.266,2 0.250742,3 91.34722,4 1}
{0 82.39301,1 238.279,2 0.255162,3 162.2266,4 1}
{0 21.3013,1 102.4839,2 -0.189314,3 117.1078,4 1}
{0 22.9708,1 49.5455,2 -0.273309,3 114.6743,4 1}
{0 25.4795,1 86.8821,2 0.285328,3 168.2719,4 1}
{0 75.41998,1 256.871,2 0.179731,3 149.5592,4 1}
{0 141.12,1 412.623,2 -0.173084,3 176.6354,4 1}
{0 22.036,1 92.201,2 -0.339119,3 96.46418,4 1}
{0 47.20001,1 344.435,2 0.166833,3 124.2106,4 1}
{1 101.38,2 -0.123428,3 138.8748,4 1}
{0 134.611,1 581.0731,2 -0.144179,3 166.3108,4 1}
{0 68.23999,1 247.595,2 0.057595,3 127.2511,4 1}
{0 25.9282,1 88.9003,2 -0.355524,3 145.9226,4 1}
{0 20.2218,1 67.9967,2 -0.202987,3 94.34653,4 1}
{0 20.5644,1 93.16389,2 0.383315,3 98.24124,4 1}
{0 30.54401,1 86.84502,2 -0.138454,3 132.1291,4 1}
{0 73.9483,1 80.8773,2 -0.316105,3 167.794,4 1}
{0 110.457,1 335.376,2 -0.146441,3 165.0556,4 1}
{0 22.6348,1 96.82181,2 -0.213504,3 167.2749,4 1}
{0 23.105,1 54.4047,2 -0.303199,3 105.322,4 1}
{0 38.189,1 125.027,2 0.256914,3 141.2479,4 1}
{0 27.98502,1 163.344,2 -0.237361,3 93.64889,4 1}
{0 55,1 304.91,2 0.163428,3 129.5171,4 1}
{0 52.05695,1 271.7339,2 -0.134822,3 172.1968,4 1}
{0 19.402,1 123.003,2 0.197241,3 136.7352,4 1}
{0 21.3121,1 64.0399,2 0.281816,3 113.6388,4 1}
{0 80.1383,1 85.2203,2 0.137037,3 140.8359,4 1}
{1 74.8973,2 0.44305,3 144.3159,4 1}
{0 36.80099,1 127.257,2 0.05376,3 120.2637,4 1}
{0 49.3868,1 132.6848,2 -0.082656,3 144.3461,4 1}
{0 87.83197,1 407.772,2 -0.148145,3 159.8096,4 1}
{0 27.4931,1 126.0981,2 -0.143078,3 113.518,4 1}
{0 41.35301,1 113.471,2 -0.138633,3 147.2273,4 1}
{0 86.08011,1 67.1131,2 0.290921,3 157.041,4 1}
{1 114.673,2 0.389066,3 75.04051,4 1}
{0 17.8354,1 104.4923,2 0.198749,3 134.0792,4 1}
{0 46.85999,1 43.18994,2 -0.12472,3 107.967,4 1}
{0 82.22101,1 279.1251,2 -0.136815,3 174.6963,4 1}
{0 13.01898,1 185.778,2 0.070669,3 100.3397,4 1}
{0 41.211,1 101.906,2 -0.173714,3 147.5981,4 1}
{0 28.12431,1 66.6373,2 0.187734,3 132.0275,4 1}
{0 20.4698,1 151.5261,2 0.142359,3 162.2376,4 1}
{0 33.1188,1 98.1478,2 -0.144468,3 133.5711,4 1}
{0 91.03604,1 434.303,2 0.188821,3 160.3452,4 1}
{0 55.26703,1 338.299,2 0.169538,3 129.5802,4 1}
{0 20.37799,1 168.589,2 0.175078,3 85.13161,4 1}
{0 118.1866,1 122.5416,2 0.170523,3 160.6418,4 1}
{0 41.60394,1 217.171,2 0.071045,3 103.6658,4 1}
{0 36.46701,1 183.588,2 0.172462,3 121.8018,4 1}
{0 19.945,1 88.8249,2 -0.304059,3 133.0108,4 1}
{0 19.784,1 35.068,2 0.297609,3 151.6411,4 1}
{0 71.29898,1 247.941,2 -0.289414,3 161.6498,4 1}
{0 117.683,1 351.136,2 -0.171261,3 146.4472,4 1}
{0 21.923,1 133.677,2 0.258443,3 90.36668,4 1}
{0 95.96002,1 389.99,2 -0.079327,3 157.0437,4 1}
{0 24.5392,1 119.5048,2 -0.179912,3 100.5402,4 1}
{0 25.6207,1 137.7801,2 -0.268781,3 163.3362,4 1}
{0 43.96497,1 194.524,2 0.084802,3 127.1247,4 1}
{0 36.808,1 207.527,2 -0.179283,3 100.3671,4 1}
{0 26.27899,1 146.862,2 -0.168873,3 127.8938,4 1}
{0 23.194,1 134.078,2 0.274506,3 119.1431,4 1}
{0 22.4562,1 67.17271,2 -0.229034,3 131.2721,4 1}
{0 48.85901,1 144.992,2 0.205416,3 140.9155,4 1}
{0 39.8132,1 136.2772,2 0.100327,3 148.1364,4 1}
{0 21.12599,1 63.72501,2 0.573558,3 179.4671,4 1}
{0 26.914,1 131.683,2 -0.145615,3 98.01877,4 1}
{0 27.039,1 159.746,2 -0.124552,3 125.1939,4 1}
{0 49.9534,1 79.494,2 -0.102379,3 171.7739,4 1}
{0 74.68896,1 291.669,2 0.142394,3 133.4502,4 1}
{0 19.2706,1 72.6143,2 0.396089,3 88.40284,4 1}
{0 31.388,1 273.818,2 -0.222454,3 95.42596,4 1}
{0 28.7415,1 88.2518,2 -0.263392,3 135.653,4 1}
{0 21.13931,1 58.7444,2 -0.16146,3 115.9295,4 1}
{0 20.34799,1 179.635,2 -0.171189,3 81.16548,4 1}
{0 25.9409,1 116.874,2 0.083098,3 150.3777,4 1}
{0 27.11801,1 231.509,2 -0.103928,3 122.2248,4 1}
{0 18.605,1 104.528,2 0.304023,3 126.8363,4 1}
{0 29.405,1 127.867,2 0.150922,3 135.9249,4 1}
{0 28.112,1 107.826,2 0.229117,3 115.3362,4 1}
{0 34.03003,1 133.8,2 0.182693,3 98.91692,4 1}
{0 29.15401,1 96.634,2 -0.24394,3 111.3372,4 1}
{0 42.829,1 176.471,2 -0.147211,3 144.6235,4 1}
{0 23.849,1 152.702,2 0.2882,3 148.0018,4 1}
{0 23.4794,1 88.2974,2 0.156769,3 127.5587,4 1}
{0 20.40901,1 157.486,2 0.29773,3 135.5322,4 1}
{0 150.8652,1 92.63819,2 0.235574,3 116.6134,4 1}
{0 26.1424,1 58.255,2 -0.147539,3 139.0451,4 1}
{0 28.61501,1 119.225,2 -0.297673,3 160.3781,4 1}
{0 102.7,1 132.6499,2 -0.141214,3 138.1222,4 1}
{0 34.55199,1 142.721,2 -0.13333,3 111.9112,4 1}
{0 33.61699,1 126.371,2 0.058635,3 111.5184,4 1}
{0 84.70996,1 229.26,2 0.148855,3 140.119,4 1}
{0 21.511,1 66.43651,2 -0.271471,3 100.0403,4 1}
{0 26.58899,1 160.218,2 0.109749,3 109.3321,4 1}
{0 39.66901,1 118.702,2 -0.117353,3 122.9087,4 1}
{0 24.1321,1 14.2132,2 0.208029,3 129.0474,4 1}
{0 39.78271,1 140.2927,2 -0.173417,3 173.1444,4 1}
{0 26.1711,1 162.9081,2 0.108662,3 125.29,4 1}
{0 29.871,1 134.471,2 -0.100398,3 131.7281,4 1}
{0 26.139,1 96.55801,2 0.266955,3 160.2463,4 1}
{0 56.627,1 242.817,2 -0.112933,3 153.1545,4 1}
{0 34.043,1 136.205,2 0.13043,3 97.78531,4 1}
{0 69.836,1 353.007,2 -0.142153,3 155.9451,4 1}
{0 104.314,1 404.776,2 -0.234618,3 172.282,4 1}
{0 39.634,1 230.514,2 0.103678,3 133.2277,4 1}
{0 22.971,1 107.3,2 -0.277354,3 163.9817,4 1}
{0 28.6536,1 66.9996,2 -0.270835,3 165.4978,4 1}
{0 18.9669,1 119.4503,2 -0.173033,3 106.6487,4 1}
{0 40.38,1 63.93994,2 0.157938,3 121.7441,4 1}
{0 32.99698,1 278.607,2 -0.125133,3 158.2412,4 1}
{0 19.4191,1 87.09061,2 -0.15488,3 120.3186,4 1}
{0 21.9675,1 66.0056,2 -0.257624,3 165.1737,4 1}
{0 23.069,1 77.62302,2 0.200287,3 138.5397,4 1}
{0 232.75,1 312.77,2 -0.198909,3 160.5182,4 1}
{0 18.134,1 184.205,2 0.227704,3 119.0634,4 1}
{0 30.10699,1 174.125,2 -0.18215,3 159.9496,4 1}
{0 30.03401,1 79.91701,2 0.188778,3 115.8196,4 1}
{0 35.058,1 123.872,2 0.130082,3 137.2543,4 1}
{0 80.1001,1 92.47009,2 -0.228574,3 148.6171,4 1}
{0 18.9148,1 44.3015,2 0.409098,3 145.1069,4 1}
{0 45.87598,1 176.506,2 0.084868,3 127.3252,4 1}
{0 16.8425,1 57.3256,2 0.440855,3 45.32204,4 1}
{0 36.043,1 253.842,2 -0.16678,3 164.9348,4 1}
{0 89.05597,1 305.335,2 -0.094878,3 158.6478,4 1}
{0 23.311,1 183.419,2 -0.192719,3 155.0497,4 1}
{0 25.40201,1 75.804,2 -0.205307,3 118.7778,4 1}
{0 42.33501,1 165.19,2 -0.132003,3 164.748,4 1}
{0 19.8934,1 66.81,2 0.6916,3 88.82582,4 1}
{0 16.92599,1 212.269,2 0.214458,3 46.22843,4 1}
{0 105.5439,1 350.2139,2 -0.246141,3 168.2362,4 1}
{0 19.3224,1 73.12469,2 -0.110454,3 101.6306,4 1}
{0 27.892,1 198.562,2 0.137491,3 111.8508,4 1}
{0 43.112,1 213.628,2 0.244289,3 164.8441,4 1}
{0 12.15399,1 126.68,2 0.09335,3 100.1227,4 1}
{0 22.9561,1 93.0764,2 -0.081074,3 119.4836,4 1}
{0 56.32001,1 268.979,2 -0.144571,3 157.0904,4 1}
{0 55.978,1 250.073,2 -0.134077,3 125.4273,4 1}
{0 35.59998,1 75.8999,2 0.235847,3 167.3408,4 1}
{0 57.8261,1 76.3661,2 0.189344,3 174.9627,4 1}
{0 20.23999,1 34.38,2 0.083695,3 79.01762,4 1}
{0 26.15201,1 174.647,2 0.193046,3 114.7265,4 1}
{0 26.664,1 173.52,2 -0.19665,3 122.3291,4 1}
{0 22.2154,1 92.2673,2 -0.166346,3 103.6411,4 1}
{0 68.01001,1 122.1,2 0.109264,3 143.1678,4 1}
{0 36.327,1 207.765,2 0.143075,3 134.0215,4 1}
{0 23.1825,1 52.06091,2 0.270961,3 96.4889,4 1}
{0 29.3,1 140.004,2 0.115444,3 118.6322,4 1}
{0 26.0416,1 101.5712,2 -0.244749,3 179.6265,4 1}
{0 64.4476,1 101.0816,2 0.219009,3 92.65461,4 1}
{0 24.62101,1 45.91801,2 0.158549,3 136.3589,4 1}
{0 31.42001,1 170.517,2 0.071668,3 109.7468,4 1}
{0 17.017,1 116.682,2 0.20227,3 48.35157,4 1}
{0 37.1825,1 37.09451,2 0.380508,3 178.2065,4 1}
{0 27.1331,1 68.1601,2 -0.254816,3 139.2374,4 1}
{0 57.604,1 296.194,2 0.257517,3 144.3076,4 1}
{0 55.966,1 178.857,2 0.126094,3 130.7503,4 1}
{0 28.88898,1 128.421,2 -0.184504,3 131.6375,4 1}
{0 28.20801,1 146.402,2 0.091743,3 105.6709,4 1}
{0 21.9443,1 102.0659,2 -0.137293,3 157.5518,4 1}
{0 27.9849,1 72.5699,2 0.094229,3 121.9556,4 1}
{0 84.155,1 282.35,2 0.067543,3 136.9604,4 1}
{0 31.34399,1 174.942,2 0.230031,3 108.0165,4 1}
{0 15.25098,1 195.058,2 -0.285107,3 90.32822,4 1}
{0 20.23201,1 124.481,2 0.357483,3 132.5631,4 1}
{0 21.2117,1 17.6556,2 0.18139,3 144.7828,4 1}
{0 68.92401,1 116.968,2 -0.11967,3 118.981,4 1}
{0 95.21802,1 290.488,2 -0.133918,3 144.2664,4 1}
{0 20.08701,1 50.79599,2 0.258852,3 131.0057,4 1}
{0 29.72899,1 156.544,2 0.124774,3 137.6059,4 1}
{0 22.4544,1 43.6843,2 -0.193815,3 114.8748,4 1}
{0 30.3359,1 90.31129,2 0.211256,3 145.9281,4 1}
{0 18.42599,1 180.526,2 0.360667,3 142.8739,4 1}
{0 31.6179,1 115.8819,2 0.088941,3 127.7098,4 1}
{0 33.461,1 231.562,2 0.102308,3 130.2834,4 1}
{0 23.5512,1 108.1505,2 0.118688,3 133.5436,4 1}
{0 20.4245,1 30.2525,2 -0.088899,3 101.7899,4 1}
{0 19.7795,1 78.8501,2 0.273819,3 109.6068,4 1}
{0 34.64001,1 98.22998,2 0.122613,3 100.1254,4 1}
{0 44.81897,1 174.162,2 -0.174804,3 126.2074,4 1}
{0 52.41498,1 231.214,2 -0.191815,3 157.0657,4 1}
{0 66.789,1 201.069,2 0.11149,3 115.0671,4 1}
{0 21.3086,1 97.2892,2 0.182486,3 113.68,4 1}
{0 19.6087,1 45.3507,2 0.253699,3 84.10986,4 1}
{1 111.707,2 0.165116,3 164.5997,4 1}
{0 74.73901,1 262.163,2 -0.117055,3 142.5827,4 1}
{0 39.937,1 132.112,2 -0.149623,3 159.9799,4 1}
{0 21.7441,1 108.8241,2 -0.1273,3 132.1483,4 1}
{0 30.0053,1 109.5407,2 0.153929,3 128.5173,4 1}
{0 29.948,1 119.051,2 0.168824,3 109.7331,4 1}
{0 34.16199,1 173.64,2 -0.307417,3 90.96544,4 1}
{0 89.625,1 405.73,2 -0.18542,3 179.0057,4 1}
{0 168.71,1 234.92,2 -0.164406,3 168.6455,4 1}
{1 72.2849,2 -0.112289,3 124.7517,4 1}
{0 36.17101,1 146.059,2 0.098034,3 158.7494,4 1}
{0 32.64401,1 232.12,2 -0.136046,3 145.9666,4 1}
{0 85.5618,1 91.2538,2 0.199136,3 160.9577,4 1}
{0 25.6959,1 130.1129,2 -0.161869,3 105.3166,4 1}
{0 97.06369,1 104.8517,2 -0.217905,3 153.4429,4 1}
{0 16.39999,1 105.684,2 0.388792,3 90.1387,4 1}
{0 16.80699,1 135.2,2 -0.316642,3 148.7269,4 1}
{0 34.519,1 117.717,2 0.115457,3 135.1586,4 1}
{0 19.51601,1 147.62,2 0.337051,3 80.00092,4 1}
{0 40.04401,1 209.288,2 -0.165609,3 132.585,4 1}
{0 29.444,1 156.192,2 -0.099204,3 108.0357,4 1}
{0 24.0832,1 83.7874,2 -0.112233,3 121.7276,4 1}
{0 20.96802,1 185.766,2 -0.173299,3 148.0348,4 1}
{0 106.783,1 330.5829,2 -0.156557,3 173.8146,4 1}
{0 31.373,1 99.34099,2 0.277668,3 164.4129,4 1}
{1 81.8397,2 0.316805,3 136.7929,4 1}
{0 33.423,1 112.148,2 0.158826,3 133.7496,4 1}
{0 50.599,1 356.081,2 0.221007,3 153.6571,4 1}
{0 59.86301,1 214.674,2 -0.256798,3 168.1785,4 1}
{0 47.21199,1 128.928,2 0.220015,3 137.3587,4 1}
{0 135.635,1 437.9451,2 -0.2134,3 170.0682,4 1}
{0 23.784,1 66.65405,2 0.182225,3 97.92538,4 1}
{0 29.257,1 102.056,2 0.144431,3 117.0034,4 1}
{0 28.5169,1 23.0529,2 0.23187,3 104.5173,4 1}
{0 30.01001,1 51.63,2 -0.060086,3 98.14236,4 1}
{0 29.33299,1 60.645,2 0.193453,3 123.6365,4 1}
{0 24.297,1 87.41699,2 -0.340832,3 99.65026,4 1}
{0 18.08499,1 142.925,2 0.183402,3 81.94278,4 1}
{0 25.47998,1 20.34998,2 0.100015,3 94.10483,4 1}
{0 18.72,1 128.041,2 0.190302,3 161.4438,4 1}
{0 19.94501,1 186.055,2 0.116209,3 102.526,4 1}
{0 47.491,1 212.091,2 0.160478,3 115.3994,4 1}
{0 63.92401,1 198.59,2 -0.088229,3 120.0522,4 1}
{0 150.23,1 520.54,2 -0.200768,3 172.9,4 1}
{0 32.92299,1 131.191,2 -0.107914,3 109.9995,4 1}
{0 23.3541,1 116.3886,2 -0.198232,3 153.377,4 1}
{0 80.91202,1 293.96,2 -0.122546,3 151.0204,4 1}
{0 21.12001,1 163.938,2 0.324265,3 146.0188,4 1}
{0 110.21,1 417.6,2 -0.16502,3 166.3822,4 1}
{0 24.66351,1 61.84251,2 -0.261443,3 151.696,4 1}
{0 30.4276,1 99.7376,2 0.16035,3 106.3548,4 1}
{0 24.73001,1 178.245,2 0.146723,3 99.04326,4 1}
{0 45.522,1 193.01,2 0.052249,3 129.2616,4 1}
{0 104.441,1 131.9009,2 0.265295,3 147.2932,4 1}
{0 54.87396,1 243.387,2 0.091892,3 132.9421,4 1}
{0 28.01099,1 189.006,2 0.214919,3 117.5308,4 1}
{0 89.384,1 318.322,2 -0.19929,3 163.5285,4 1}
{0 22.9972,1 33.5553,2 0.246137,3 110.7246,4 1}
{0 27.5186,1 89.57629,2 -0.169026,3 149.919,4 1}
{0 38.159,1 131.664,2 -0.1802,3 129.8988,4 1}
{0 20.8338,1 65.9273,2 -0.478235,3 92.57771,4 1}
{0 30.62402,1 233.835,2 0.130991,3 119.1321,4 1}
{0 73.56702,1 347.598,2 0.11353,3 142.1653,4 1}
{0 23.85901,1 186.872,2 -0.125839,3 96.00275,4 1}
{0 61.18597,1 248.206,2 -0.214872,3 144.2362,4 1}
{0 19.5487,1 114.119,2 0.127699,3 111.3976,4 1}
{0 20.4237,1 70.16679,2 -0.449532,3 95.50835,4 1}
{0 24.99799,1 135.127,2 -0.236555,3 149.9272,4 1}
{0 23.02,1 95.43301,2 -0.213722,3 144.3076,4 1}
{0 145.26,1 201.25,2 -0.156778,3 169.5546,4 1}
{0 28.99899,1 144.166,2 -0.276667,3 95.08537,4 1}
{0 25.98241,1 91.1124,2 -0.147398,3 144.6949,4 1}
{0 33.41699,1 175.35,2 0.134072,3 112.6171,4 1}
{1 103.196,2 -0.239286,3 123.7601,4 1}
{0 161.0801,1 395.7301,2 -0.167485,3 169.1838,4 1}
{0 70.155,1 228.11,2 0.211079,3 162.2129,4 1}
{0 35.793,1 189.074,2 0.121691,3 119.8572,4 1}
{0 64.64001,1 295.176,2 0.103192,3 143.3216,4 1}
{0 68.35101,1 276.72,2 -0.080615,3 122.5489,4 1}
{0 57.73599,1 354.248,2 -0.125156,3 148.6555,4 1}
{0 17.0626,1 97.4999,2 -0.174462,3 103.9762,4 1}
{0 18.771,1 105.37,2 0.476897,3 174.949,4 1}
{0 21.1127,1 75.5402,2 -0.204024,3 143.4891,4 1}
{0 18.6507,1 76.714,2 0.270916,3 102.3008,4 1}
{0 65.6185,1 86.37289,2 -0.17216,3 136.716,4 1}
{0 47.00299,1 289.482,2 -0.113962,3 129.0721,4 1}
{0 35.141,1 102.754,2 -0.135599,3 109.2689,4 1}
{0 46.11298,1 129.385,2 0.172994,3 109.8073,4 1}
{0 65.18005,1 94.12,2 0.172726,3 126.287,4 1}
{0 25.36398,1 182.097,2 0.178656,3 94.92332,4 1}
{0 37.38098,1 110.986,2 -0.165494,3 131.36,4 1}
{0 21.68597,1 151.806,2 0.444227,3 164.0421,4 1}
{0 21.883,1 83.4063,2 -0.208071,3 117.0886,4 1}
{0 59,1 252.511,2 0.142277,3 127.6851,4 1}
{0 33.117,1 157.027,2 0.190508,3 150.9242,4 1}
{0 70.10999,1 81.40002,2 0.174381,3 124.7709,4 1}
{0 73.48596,1 252.368,2 0.254585,3 156.39,4 1}
{0 72.255,1 223.116,2 0.097431,3 125.886,4 1}
{0 19.25299,1 157.719,2 -0.097232,3 72.60975,4 1}
{0 63.05798,1 243.462,2 -0.112791,3 120.5246,4 1}
{0 20.1885,1 67.9504,2 -0.216109,3 139.6933,4 1}
{0 20.2417,1 56.6614,2 0.288223,3 97.59304,4 1}
{0 26.6,1 76.43501,2 -0.27641,3 94.24216,4 1}
{0 30.6738,1 119.5498,2 -0.196485,3 124.0403,4 1}
{0 17.9675,1 85.1273,2 0.245914,3 147.6722,4 1}
{0 26.97,1 48.4861,2 0.214842,3 113.6745,4 1}
{0 21.39799,1 78.43898,2 0.261253,3 107.3518,4 1}
{0 26.61499,1 156.145,2 -0.126878,3 139.7565,4 1}
{0 25.082,1 76.01971,2 0.147813,3 118.4317,4 1}
{0 135.22,1 193.35,2 -0.107865,3 138.0975,4 1}
{0 50.76599,1 181.721,2 0.159422,3 123.7244,4 1}
{0 27.64502,1 175.645,2 0.196392,3 138.4683,4 1}
{0 65.25995,1 195.777,2 -0.112594,3 125.5399,4 1}
{0 26.609,1 89.528,2 -0.265799,3 161.8833,4 1}
{0 24.44501,1 160.46,2 0.137927,3 93.36874,4 1}
{0 51.38397,1 260.226,2 0.133438,3 113.4383,4 1}
{0 101.2702,1 73.11021,2 -0.121458,3 96.26917,4 1}
{0 31.59801,1 94.306,2 0.346414,3 157.2387,4 1}
{0 19.6112,1 73.3826,2 0.311528,3 150.1881,4 1}
{0 27.8034,1 67.06129,2 0.216035,3 158.6395,4 1}
{0 16.88,1 120.335,2 0.119117,3 113.518,4 1}
{0 24.91498,1 152.383,2 0.110313,3 97.22774,4 1}
{0 42.73399,1 162.518,2 0.158318,3 149.5839,4 1}
{0 43.6197,1 55.0496,2 -0.075999,3 132.8652,4 1}
{0 62.05005,1 230.02,2 -0.168261,3 161.1142,4 1}
{0 164.325,1 508.176,2 -0.146718,3 158.0902,4 1}
{0 18.53198,1 130.846,2 0.315394,3 158.8318,4 1}
{0 27.45001,1 138.658,2 0.184003,3 125.7377,4 1}
{0 37.922,1 117.339,2 0.273074,3 138.1332,4 1}
{0 21.3004,1 77.41069,2 -0.31283,3 156.6427,4 1}
{0 124.764,1 366.875,2 -0.129205,3 145.8073,4 1}
{0 30.25198,1 202.271,2 0.126165,3 153.7093,4 1}
{0 22.6178,1 58.501,2 0.38556,3 161.3889,4 1}
{0 24.09497,1 87.29395,2 0.101645,3 93.41817,4 1}
{0 98.91205,1 338.3041,2 0.164501,3 147.1174,4 1}
{0 23.01199,1 155.418,2 0.13291,3 126.7457,4 1}
{0 113.506,1 402.56,2 -0.091583,3 147.3866,4 1}
{0 22.158,1 73.59,2 0.655875,3 165.2836,4 1}
{0 29.42799,1 216.328,2 0.079048,3 139.3115,4 1}
{0 84.091,1 382.966,2 -0.107386,3 142.2834,4 1}
{0 21.5488,1 117.3143,2 0.110015,3 124.7077,4 1}
{0 16.3642,1 58.5712,2 0.339139,3 32.40192,4 1}
